srcStateName,srcYear,Types of coal,Coal Consuming Sectors,Coal Consumed,YearCode,Year
PUNJAB,2011,RAW COAL,POWER (UTILITY),12.545,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011,RAW COAL,POWER (CAPTIVE),3.363,2011,"Financial Year (Apr - Mar), 2011"
ASSAM,2011,RAW COAL,PULP & PAPER,0.095,2011,"Financial Year (Apr - Mar), 2011"
PUNJAB,2011,RAW COAL,FERTILISERS,1.111,2011,"Financial Year (Apr - Mar), 2011"
DELHI,2011,WASHED COAL,POWER (UTILITY),1.599,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,MIDDLINGS,POWER (CAPTIVE),0.462,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2011,WASHED COAL,CEMENT,0.045,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011,RAW COAL,STEEL (BOILERS),0.121,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2011,RAW COAL,POWER (UTILITY),34.997,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011,RAW COAL,SPONGE IRON,0.177,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011,RAW COAL,POWER (CAPTIVE),11.644,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011,RAW COAL,TEXTILES & RAYONS,0.023,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011,RAW COAL,CHEMICAL,0.021,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011,RAW COAL,SPONGE IRON,0.821,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,RAW COAL,BRICKS,0.159,2011,"Financial Year (Apr - Mar), 2011"
ODISHA,2011,RAW COAL,POWER (UTILITY),21.162,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2011,RAW COAL,POWER (CAPTIVE),1.235,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011,LIGNITE,POWER (UTILITY),5.824,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011,MIDDLINGS,POWER (CAPTIVE),3.061,2011,"Financial Year (Apr - Mar), 2011"
BIHAR,2011,RAW COAL,CEMENT,0.049,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011,RAW COAL,CEMENT,0.169,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011,MIDDLINGS,POWER (UTILITY),0.741,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011,RAW COAL,METALLURGICAL USE- COKERIES,0.131,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2011,RAW COAL,CHEMICAL,0.031,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2011,RAW COAL,POWER (CAPTIVE),0.06,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011,WASHED COAL,SPONGE IRON,1.923,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,MIDDLINGS,METALLURGICAL USE- COKERIES,0.543,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011,RAW COAL,METALLURGICAL USE- COKERIES,0.037,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,RAW COAL,METALLURGICAL USE- COKERIES,1.2,2011,"Financial Year (Apr - Mar), 2011"
ODISHA,2011,RAW COAL,POWER (CAPTIVE),13.077,2011,"Financial Year (Apr - Mar), 2011"
TAMILNADU,2011,RAW COAL,PULP & PAPER,0.073,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2011,RAW COAL,POWER (UTILITY),12.654,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011,WASHED COAL,METALLURGICAL USE- COKERIES,0.946,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,RAW COAL,CEMENT,0.075,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011,RAW COAL,TEXTILES & RAYONS,0.059,2011,"Financial Year (Apr - Mar), 2011"
ASSAM,2011,RAW COAL,CEMENT,0.029,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,RAW COAL,COLLIERY OWN - CONSUMPTION,0.044,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011,LIGNITE,BRICKS,0.529,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011,RAW COAL,FERTILISERS,0.375,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011,WASHED COAL,SPONGE IRON,0.005,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2011,RAW COAL,SPONGE IRON,0.72,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,RAW COAL,FERTILISERS,0.16,2011,"Financial Year (Apr - Mar), 2011"
PUNJAB,2011,WASHED COAL,POWER (UTILITY),0.049,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011,RAW COAL,POWER (CAPTIVE),3.871,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011,RAW COAL,POWER (UTILITY),41.286,2011,"Financial Year (Apr - Mar), 2011"
BIHAR,2011,RAW COAL,CHEMICAL,0.013,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,MIDDLINGS,POWER (CAPTIVE),0.11,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,RAW COAL,CEMENT,0.006,2011,"Financial Year (Apr - Mar), 2011"
TAMILNADU,2011,RAW COAL,POWER (CAPTIVE),0.488,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,WASHED COAL,METALLURGICAL USE- COKERIES,1.986,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2011,RAW COAL,SPONGE IRON,0.694,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,RAW COAL,STEEL (BOILERS),0.437,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2011,RAW COAL,STEEL (BOILERS),0.01,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011,RAW COAL,PULP & PAPER,0.023,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2011,RAW COAL,TEXTILES & RAYONS,0.09,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2011,RAW COAL,POWER (UTILITY),12.27,2011,"Financial Year (Apr - Mar), 2011"
TAMILNADU,2011,LIGNITE,BRICKS,0.016,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011,RAW COAL,POWER (UTILITY),34.579,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2011,RAW COAL,PULP & PAPER,0.061,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,RAW COAL,POWER (CAPTIVE),0.394,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2011,RAW COAL,CEMENT,1.924,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011,MIDDLINGS,POWER (UTILITY),0.249,2011,"Financial Year (Apr - Mar), 2011"
TAMILNADU,2011,LIGNITE,CEMENT,0.242,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011,RAW COAL,SPONGE IRON,0.077,2011,"Financial Year (Apr - Mar), 2011"
TAMILNADU,2011,RAW COAL,POWER (UTILITY),12.695,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011,WASHED COAL,BRICKS,0.003,2011,"Financial Year (Apr - Mar), 2011"
ODISHA,2011,MIDDLINGS,METALLURGICAL USE- COKERIES,0.101,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,RAW COAL,CHEMICAL,0.024,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,RAW COAL,COLLIERY OWN - CONSUMPTION,0.125,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,RAW COAL,METALLURGICAL USE- DIRECT FEED,0.445,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,RAW COAL,METALLURGICAL USE- COKERIES,0.024,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011,RAW COAL,POWER (UTILITY),31.505,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,RAW COAL,POWER (UTILITY),36.853,2011,"Financial Year (Apr - Mar), 2011"
LADAKH,2011,RAW COAL,CEMENT,0,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2011,WASHED COAL,POWER (UTILITY),1.725,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2011,RAW COAL,BRICKS,0.004,2011,"Financial Year (Apr - Mar), 2011"
PUNJAB,2011,RAW COAL,POWER (CAPTIVE),0.26,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2011,RAW COAL,FERTILISERS,0.327,2011,"Financial Year (Apr - Mar), 2011"
TAMILNADU,2011,RAW COAL,SPONGE IRON,0.115,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011,WASHED COAL,TEXTILES & RAYONS,0.016,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011,LIGNITE,CHEMICAL,1.106,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011,RAW COAL,PULP & PAPER,0.022,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011,WASHED COAL,POWER (UTILITY),0.234,2011,"Financial Year (Apr - Mar), 2011"
HIMACHAL PRADESH,2011,RAW COAL,CEMENT,0.541,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011,RAW COAL,POWER (UTILITY),18.507,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,RAW COAL,METALLURGICAL USE- DIRECT FEED,0.079,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,WASHED COAL,POWER (CAPTIVE),0.03,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,RAW COAL,PULP & PAPER,0.072,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2011,LIGNITE,CEMENT,0.011,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,MIDDLINGS,POWER (UTILITY),0.385,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011,MIDDLINGS,METALLURGICAL USE- COKERIES,0.03,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,MIDDLINGS,POWER (UTILITY),2.057,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,RAW COAL,TEXTILES & RAYONS,0.017,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011,RAW COAL,CHEMICAL,0.01,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011,RAW COAL,TEXTILES & RAYONS,0.031,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011,RAW COAL,CHEMICAL,0.277,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2011,RAW COAL,CEMENT,1.817,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011,LIGNITE,TEXTILES & RAYONS,1.028,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2011,LIGNITE,TEXTILES & RAYONS,0.147,2011,"Financial Year (Apr - Mar), 2011"
ODISHA,2011,WASHED COAL,METALLURGICAL USE- COKERIES,0.496,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011,LIGNITE,PULP & PAPER,2.519,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011,WASHED COAL,POWER (UTILITY),6.974,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2011,RAW COAL,PULP & PAPER,0.283,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2011,RAW COAL,POWER (CAPTIVE),1.892,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011,RAW COAL,FERTILISERS,0.317,2011,"Financial Year (Apr - Mar), 2011"
ODISHA,2011,RAW COAL,PULP & PAPER,0.148,2011,"Financial Year (Apr - Mar), 2011"
ODISHA,2011,MIDDLINGS,POWER (CAPTIVE),0.023,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,RAW COAL,CHEMICAL,0.037,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2011,RAW COAL,CHEMICAL,0.001,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011,RAW COAL,COLLIERY OWN - CONSUMPTION,0.007,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011,RAW COAL,CEMENT,1.471,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011,RAW COAL,POWER (CAPTIVE),2.658,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011,WASHED COAL,CEMENT,0.255,2011,"Financial Year (Apr - Mar), 2011"
KERALA,2011,RAW COAL,CEMENT,0.034,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,WASHED COAL,POWER (UTILITY),0.837,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2011,WASHED COAL,POWER (UTILITY),0.494,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2011,RAW COAL,CEMENT,0.722,2011,"Financial Year (Apr - Mar), 2011"
TAMILNADU,2011,LIGNITE,PULP & PAPER,0.045,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,RAW COAL,POWER (CAPTIVE),1.495,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011,RAW COAL,CEMENT,0.168,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,WASHED COAL,METALLURGICAL USE- COKERIES,3.041,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011,LIGNITE,CEMENT,0.108,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011,RAW COAL,STEEL (BOILERS),0.592,2011,"Financial Year (Apr - Mar), 2011"
DELHI,2011,RAW COAL,POWER (UTILITY),1.34,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011,RAW COAL,PULP & PAPER,0.227,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011,RAW COAL,SPONGE IRON,1.089,2011,"Financial Year (Apr - Mar), 2011"
UTTARAKHAND,2011,RAW COAL,POWER (CAPTIVE),0.402,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011,RAW COAL,POWER (UTILITY),37.172,2011,"Financial Year (Apr - Mar), 2011"
KERALA,2011,RAW COAL,PULP & PAPER,0.179,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011,RAW COAL,CEMENT,4.51,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2011,LIGNITE,POWER (UTILITY),1.353,2011,"Financial Year (Apr - Mar), 2011"
TAMILNADU,2011,RAW COAL,CEMENT,0.246,2011,"Financial Year (Apr - Mar), 2011"
